dsny_storm,date_of_report,manhattan,bronx,brooklyn,queens,staten_island,total_tons
Storm 1,2016-01-19T00:00:00.000,1111,2059,2690,6625,2931,15416
Storm 2,2016-01-23T00:00:00.000,2919,4567,5521,9253,4264,26524
Storm 2,2016-01-24T00:00:00.000,6582,8167,12290,17133,5411,49583
Storm 2,2016-01-25T00:00:00.000,3862,4094,6217,10236,1256,25665
Storm 2,2016-01-26T00:00:00.000,2499,3299,5120,7685,764,19367
Storm 2,2016-01-27T00:00:00.000,2609,2007,4619,5656,1830,16721
Storm 2,2016-01-28T00:00:00.000,1878,2017,2889,4090,560,11434
Storm 2,2016-01-29T00:00:00.000,906,1652,2647,2829,338,8372
Storm 2,2016-01-30T00:00:00.000,569,1134,1101,1675,75,4554
Storm 2,2016-01-31T00:00:00.000,379,598,426,1140,80,2623
Storm 2,2016-02-01T00:00:00.000,202,453,120,792,0,1567
Storm 2,2016-02-02T00:00:00.000,66,302,276,448,0,1092
Storm 2,2016-02-03T00:00:00.000,34,288,144,452,0,918
Storm 2,2016-02-04T00:00:00.000,0,73,0,277,0,350
Storm 2,2016-02-05T00:00:00.000,1495,1631,4641,7885,2054,17706
Storm 2,2016-02-06T00:00:00.000,127,596,1822,2597,440,5582
Storm 2,2016-02-08T00:00:00.000,26,28,0,303,40,397
Storm 3,2016-02-09T00:00:00.000,614,1447,3433,6340,1288,13122
Storm 3,2016-02-10T00:00:00.000,300,664,404,1496,235,3099
Storm 3,2016-02-11T00:00:00.000,79,630,188,1944,440,3281
Storm 3,2016-02-12T00:00:00.000,44,130,118,261,245,798
Storm 3,2016-02-14T00:00:00.000,30,5,130,139,50,354
Storm 4,2016-02-16T00:00:00.000,2367,4690,6645,5747,4445,23894
Storm 4,2016-02-17T00:00:00.000,62,652,0,4,0,718
Storm 5,2016-03-07T00:00:00.000,1305,1670,4448,4465,1240,13128
Storm 1,2016-12-19T00:00:00.000,4992,6780,9597,13750,2635,37754
Storm 2,2017-01-07T00:00:00.000,2665,3440,6553,7096,3040,22794
Storm 3,2017-01-08T00:00:00.000,3173,7976,10707,12948,3953,38757
Storm 3,2017-01-09T00:00:00.000,4189,2760,3543,6336,1230,18058
Storm 3,2017-01-10T00:00:00.000,1181,767,767,1715,270,4700
Storm 3,2017-01-13T00:00:00.000,27,287,0,610,0,924
Storm 4,2017-02-01T00:00:00.000,1619,3242,4207,5266,1824,16158
Storm 5,2017-02-10T00:00:00.000,7091,6515,13013,13187,7231,47037
Storm 5,2017-02-11T00:00:00.000,2393,2900,5818,5018,2450,18579
Storm 5,2017-02-12T00:00:00.000,1141,2400,1912,2994,1883,10330
Storm 5,2017-02-13T00:00:00.000,1056,2400,3075,3740,2432,12703
Storm 5,2017-02-14T00:00:00.000,39,6,414,341,116,916
Storm 5,2017-02-15T00:00:00.000,16,204,492,100,0,812
Storm 5,2017-02-17T00:00:00.000,4,351,609,925,0,1889
