dsny_storm,date_of_report,manhattan,bronx,brooklyn,queens,staten_island,total_tons,year,month,winter_start,winter_season
Storm 1,2016-01-19,1111,2059,2690,6625,2931,15416,2016,1,2015,2015-16
Storm 2,2016-01-23,2919,4567,5521,9253,4264,26524,2016,1,2015,2015-16
Storm 2,2016-01-24,6582,8167,12290,17133,5411,49583,2016,1,2015,2015-16
Storm 2,2016-01-25,3862,4094,6217,10236,1256,25665,2016,1,2015,2015-16
Storm 2,2016-01-26,2499,3299,5120,7685,764,19367,2016,1,2015,2015-16
Storm 2,2016-01-27,2609,2007,4619,5656,1830,16721,2016,1,2015,2015-16
Storm 2,2016-01-28,1878,2017,2889,4090,560,11434,2016,1,2015,2015-16
Storm 2,2016-01-29,906,1652,2647,2829,338,8372,2016,1,2015,2015-16
Storm 2,2016-01-30,569,1134,1101,1675,75,4554,2016,1,2015,2015-16
Storm 2,2016-01-31,379,598,426,1140,80,2623,2016,1,2015,2015-16
Storm 2,2016-02-01,202,453,120,792,0,1567,2016,2,2015,2015-16
Storm 2,2016-02-02,66,302,276,448,0,1092,2016,2,2015,2015-16
Storm 2,2016-02-03,34,288,144,452,0,918,2016,2,2015,2015-16
Storm 2,2016-02-04,0,73,0,277,0,350,2016,2,2015,2015-16
Storm 2,2016-02-05,1495,1631,4641,7885,2054,17706,2016,2,2015,2015-16
Storm 2,2016-02-06,127,596,1822,2597,440,5582,2016,2,2015,2015-16
Storm 2,2016-02-08,26,28,0,303,40,397,2016,2,2015,2015-16
Storm 3,2016-02-09,614,1447,3433,6340,1288,13122,2016,2,2015,2015-16
Storm 3,2016-02-10,300,664,404,1496,235,3099,2016,2,2015,2015-16
Storm 3,2016-02-11,79,630,188,1944,440,3281,2016,2,2015,2015-16
Storm 3,2016-02-12,44,130,118,261,245,798,2016,2,2015,2015-16
Storm 3,2016-02-14,30,5,130,139,50,354,2016,2,2015,2015-16
Storm 4,2016-02-16,2367,4690,6645,5747,4445,23894,2016,2,2015,2015-16
Storm 4,2016-02-17,62,652,0,4,0,718,2016,2,2015,2015-16
Storm 5,2016-03-07,1305,1670,4448,4465,1240,13128,2016,3,2015,2015-16
Storm 1,2016-12-19,4992,6780,9597,13750,2635,37754,2016,12,2016,2016-17
Storm 2,2017-01-07,2665,3440,6553,7096,3040,22794,2017,1,2016,2016-17
Storm 3,2017-01-08,3173,7976,10707,12948,3953,38757,2017,1,2016,2016-17
Storm 3,2017-01-09,4189,2760,3543,6336,1230,18058,2017,1,2016,2016-17
Storm 3,2017-01-10,1181,767,767,1715,270,4700,2017,1,2016,2016-17
Storm 3,2017-01-13,27,287,0,610,0,924,2017,1,2016,2016-17
Storm 4,2017-02-01,1619,3242,4207,5266,1824,16158,2017,2,2016,2016-17
Storm 5,2017-02-10,7091,6515,13013,13187,7231,47037,2017,2,2016,2016-17
Storm 5,2017-02-11,2393,2900,5818,5018,2450,18579,2017,2,2016,2016-17
Storm 5,2017-02-12,1141,2400,1912,2994,1883,10330,2017,2,2016,2016-17
Storm 5,2017-02-13,1056,2400,3075,3740,2432,12703,2017,2,2016,2016-17
Storm 5,2017-02-14,39,6,414,341,116,916,2017,2,2016,2016-17
Storm 5,2017-02-15,16,204,492,100,0,812,2017,2,2016,2016-17
Storm 5,2017-02-17,4,351,609,925,0,1889,2017,2,2016,2016-17
Storm 6,2017-03-11,1782,2560,4216,5061,2549,16168,2017,3,2016,2016-17
Storm 6,2017-03-13,0,4,2,82,0,88,2017,3,2016,2016-17
Storm 7,2017-03-15,6700,7458,14810,17736,6857,53561,2017,3,2016,2016-17
Storm 7,2017-03-16,2275,3947,7435,6566,2580,22803,2017,3,2016,2016-17
Storm 7,2017-03-17,1624,3003,2456,3406,2450,12939,2017,3,2016,2016-17
Storm 7,2017-03-18,1255,2145,888,2486,263,7037,2017,3,2016,2016-17
Storm 7,2017-03-19,1015,2642,1770,1978,277,7682,2017,3,2016,2016-17
Storm 7,2017-03-20,810,993,1149,1405,300,4657,2017,3,2016,2016-17
Storm 7,2017-03-21,326,582,903,392,0,2203,2017,3,2016,2016-17
Storm 7,2017-03-22,448,572,572,296,0,1888,2017,3,2016,2016-17
Storm 7,2017-03-23,205,278,357,404,300,1544,2017,3,2016,2016-17
Storm 7,2017-03-24,54,197,324,115,0,690,2017,3,2016,2016-17
Storm 7,2017-03-25,0,195,125,0,200,520,2017,3,2016,2016-17
Storm 1,2017-12-10,3704,6884,11569,12920,4913,39990,2017,12,2017,2017-18
Storm 2,2017-12-15,2414,4558,4469,7946,3900,23287,2017,12,2017,2017-18
Storm 2,2017-12-16,3789,5939,4864,10954,3988,29534,2017,12,2017,2017-18
Storm 2,2017-12-18,0,168,32,0,78,278,2017,12,2017,2017-18
Storm 3,2018-01-02,1818,6518,7119,15888,5204,36547,2018,1,2017,2017-18
